QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.99048,0.00057,0.04281,-0.24963,0.07177,0.26116,1.0,124.41, 20 x 20,96.2,106.2,3650.0,0.0,0.05, 0 x 142,0.05,-0.00265,0.00025,0.0127,-0.0254,-0.00011,0.21668,2880.0,100.9,0.027
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.9914,0.00072,0.03828,-0.20032,0.07241,0.19182,1.0,303.76, 21 x 6,71.2,81.1,3675.0,0.0,0.05, 0 x 153,0.05,-0.00292,0.00036,0.0155,-0.02502,-0.0006,0.16644,1644.0,75.9,0.02
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.98957,0.00097,0.04445,-0.19956,0.07248,0.1576,2.0,52.2, 21 x 6,56.2,66.1,3690.0,0.0,0.05, 0 x 150,0.05,-0.00379,0.00045,0.01814,-0.02519,-0.00075,0.13657,1961.0,60.9,0.016
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.98884,0.00128,0.0501,-0.20032,0.07279,0.13479,21.0,74.0, 21 x 6,46.2,56.1,3700.0,0.0,0.05, 0 x 181,0.05,-0.00374,0.0006,0.0209,-0.02464,0.0,0.11665,9585.0,50.9,0.014
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.98619,0.00185,0.05769,-0.19986,0.07324,0.11136,8.0,37.64, 21 x 6,36.2,46.1,3710.0,0.0,0.05, 0 x 103,0.05,-0.00484,0.00084,0.02457,-0.02471,-0.00085,0.09596,2814.0,40.9,0.011
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.9707,0.0041,0.11289,-0.29961,0.07183,0.09873,13.0,19.41, 1 x 26,26.3,36.2,3720.0,0.0,0.05, 0 x 85,0.05,-0.0062,0.00139,0.03071,-0.02524,-0.00067,0.07441,3516.0,30.9,0.008
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.96699,0.0052,0.12528,-0.29976,0.07185,0.08493,26.0,16.0, 1 x 26,21.3,31.2,3725.0,0.0,0.05, 0 x 45,0.05,-0.00717,0.0018,0.03457,-0.02481,-7e-05,0.06334,4907.0,25.9,0.007
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.97717,0.00502,0.0898,-0.20005,0.0725,0.06283,96.0,24.3, 1 x 1,16.7,25.6,3730.0,0.0,0.05, 0 x 85,0.05,-0.00827,0.00264,0.04049,-0.02468,-0.00076,0.05235,4400.0,20.9,0.006
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.82374,0.02173,0.43443,-1.24929,0.06174,0.07163,181.0,12.3, 10 x 1,9.4,15.0,3740.0,0.05,0.1, 56 x 21,0.05,-0.03234,0.01206,0.12622,-0.07503,-0.00268,0.03603,4863.0,10.9,0.003
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.89594,0.03737,0.30153,-0.34968,0.06669,0.0287,197.0,6.5, 10 x 10,3.3,9.3,3745.0,0.15,0.9, 11 x 8,0.35,-0.16189,0.03982,0.41552,-0.52484,-0.01159,0.03673,2319.0,5.9,0.002
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.59032,0.08291,0.65193,-1.49982,0.04429,0.02848,840.0,3.0, 17 x 8,0.9,4.0,3750.0,0.35,1.4, 1 x 8,1.55,-0.3762,0.1136,0.63753,-0.8755,-0.02745,0.02038,8808.0,0.9,0.0
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.262,0.05288,0.54544,-0.9752,0.02005,0.03707,651.0,0.4, 3 x 204,0.2,1.75,3755.0,2.5,5.9, 1 x 8,4.0,-0.87899,0.06489,0.34569,-0.15021,-0.04265,0.02087,1900.0,4.1,0.001
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00195,0.0002,0.01177,-0.02556,5e-05,0.22576,1892.0,0.05, 0 x 488,0.0,0.05,3860.0,109.4,115.5, 10 x 10,94.18,-0.90057,0.00187,0.29038,-3.40039,-0.04825,0.48536,102.0,109.1,0.029
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00173,0.00021,0.01162,-0.02501,7e-05,0.2348,1071.0,0.05, 0 x 498,0.0,0.05,3865.0,114.4,120.5, 10 x 10,94.88,-0.90233,0.00176,0.28606,-3.40032,-0.04807,0.50168,76.0,114.1,0.03
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00166,0.00013,0.01102,-0.02522,0.00023,0.24417,1730.0,0.05, 0 x 448,0.0,0.05,3870.0,114.5,126.5, 20 x 6,79.76,-0.93455,0.00122,0.20807,-1.45036,-0.03842,0.4384,16.0,119.1,0.032
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00193,0.00017,0.01071,-0.02502,0.00055,0.25288,1542.0,0.05, 0 x 425,0.0,0.05,3875.0,119.5,131.5, 20 x 6,115.33,-0.93492,0.00114,0.20664,-1.45052,-0.03826,0.45415,79.0,124.1,0.033
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00224,0.0001,0.01086,-0.02495,-0.00027,0.26137,1394.0,0.07, 0 x 519,0.0,0.05,3880.0,124.5,136.5, 20 x 6,89.48,-0.93537,0.00107,0.20473,-1.45036,-0.03792,0.46882,25.0,129.1,0.034
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00171,0.00013,0.01013,-0.02536,-0.00018,0.27057,623.0,0.05, 0 x 347,0.0,0.05,3885.0,129.5,141.5, 20 x 6,134.4,-0.93652,0.001,0.20217,-1.4501,-0.03681,0.48406,12.0,134.1,0.036
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00184,8e-05,0.01034,-0.02503,0.00041,0.28011,1366.0,0.05, 0 x 725,0.0,0.05,3890.0,139.4,145.5, 10 x 10,121.8,-0.91118,0.00137,0.26623,-3.39971,-0.04616,0.58282,191.0,139.1,0.037
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.0019,0.00013,0.00931,-0.0251,-0.00011,0.28899,676.0,0.05, 0 x 536,0.0,0.05,3895.0,144.4,150.5, 10 x 10,135.35,-0.91233,0.00133,0.26237,-3.40025,-0.04561,0.59842,90.0,144.1,0.038
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00129,0.00013,0.00888,-0.02519,0.00041,0.29786,4353.0,0.05, 0 x 1031,0.0,0.05,3900.0,149.4,155.5, 10 x 10,109.68,-0.91355,0.00127,0.26003,-3.39995,-0.04573,0.61428,164.0,149.1,0.04
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.0009,6e-05,0.00718,-0.02539,0.00041,0.38526,1335.0,0.05, 0 x 615,0.0,0.05,3950.0,192.8,206.6, 10 x 20,201.89,-0.94639,0.00024,0.17254,-0.65016,-0.02604,0.63453,42.0,199.1,0.053
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00127,3e-05,0.00759,-0.02502,-0.00014,0.41118,271.0,0.05, 0 x 724,0.0,0.05,3965.0,202.9,226.9, 20 x 20,216.92,-0.9441,0.00033,0.17629,-0.84975,-0.0278,0.69012,66.0,214.1,0.057
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00117,3e-05,0.00677,-0.02565,-0.00018,0.41943,646.0,0.05, 0 x 939,0.0,0.05,3970.0,212.1,230.9, 20 x 1,210.31,-0.93269,0.00062,0.21029,-2.45048,-0.03808,0.78824,44.0,219.1,0.058
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00109,2e-05,0.00655,-0.02516,0.00051,0.42794,192.0,0.05, 0 x 530,0.0,0.05,3975.0,218.8,236.9, 10 x 20,200.58,-0.92154,0.0007,0.23832,-3.80037,-0.0422,0.86335,9.0,224.1,0.06
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00106,5e-05,0.00669,-0.02526,-0.0001,0.4362,246.0,0.05, 0 x 534,0.0,0.05,3980.0,221.6,240.9, 1 x 1,192.56,-0.93534,0.00053,0.20347,-2.20043,-0.03594,0.8063,8.0,229.1,0.061
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00145,8e-05,0.00686,-0.02488,-4e-05,0.4449,213.0,0.05, 0 x 812,0.0,0.05,3985.0,226.6,245.9, 1 x 1,213.65,-0.93495,0.00056,0.20289,-2.19952,-0.03618,0.82079,55.0,234.1,0.062
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00108,4e-05,0.0064,-0.02555,0.00021,0.45317,55.0,0.05, 0 x 762,0.0,0.05,3990.0,227.9,251.9, 20 x 20,207.96,-0.94392,0.00021,0.17672,-0.85002,-0.02666,0.76427,12.0,239.1,0.064
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00146,6e-05,0.00673,-0.02491,-0.00028,0.46141,118.0,0.05, 0 x 641,0.0,0.05,3995.0,234.2,258.1, 20 x 1,224.2,-0.93625,0.00048,0.19951,-2.09988,-0.0352,0.84587,47.0,244.1,0.065
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00087,7e-05,0.0069,-0.02517,-6e-05,0.46966,557.0,0.05, 0 x 1886,0.0,0.05,4000.0,243.5,263.6, 10 x 10,231.62,-0.91893,0.00074,0.24468,-4.5002,-0.04308,0.9694,58.0,249.1,0.066
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00126,9e-05,0.00608,-0.02531,0.00025,0.47889,158.0,0.1, 0 x 1096,0.0,0.05,4005.0,247.1,266.5, 20 x 1,236.57,-0.93209,0.00048,0.21084,-2.75027,-0.03712,0.90742,2.0,254.1,0.068
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00086,7e-05,0.00639,-0.02547,-0.00032,0.48636,104.0,0.05, 0 x 879,0.0,0.05,4010.0,252.1,274.6, 20 x 1,245.85,-0.92098,0.0006,0.23898,-4.29971,-0.04258,0.99171,4.0,259.1,0.069
